Sector,LandBorderMiles,PrimaryFencing,BorderPatrolStaffing,ApprehensionsPerAgent,Apprehensions,NonMexicanApprehensions,UACApprehensions,FamilyApprehensions,MigrantRemainsFound,HeroinSeizures,MethSeizures,CocaineSeizures,CannabisSeizures
Big Bend,510,5,511,12.5,6366,3638,951,1051,2,2,7,16,41752
Del Rio,210,4,1439,16,23078,10125,2689,3549,14,29,122,0,10128
El Centro,70,59,927,21,19448,5087,1379,1593,9,96,1758,126,2899
El Paso,180,166,2240,11.4,25634,11974,3885,5664,1,56,302,157,67532
Laredo,171,1,1670,21.9,36562,11225,2953,1640,68,160,1515,663,73261
Rio Grande Valley,273,55,3135,59.6,186830,140496,36714,52006,130,275,1116,1460,326393
San Diego,60,46,2325,13.7,31891,6511,1553,2863,7,1048,9210,1317,9167
Tucson,262,211,3834,16.9,64891,18397,6302,3139,84,407,1282,174,728367
Yuma,126,107,829,17.1,14170,10657,3266,6169,7,47,971,271,32608
